"","ID","verbatimScientificName","X.1","X.2","X.3","X.4","X.5","X.6"
"1",149,"Euidosomus acuminatus (Boheman, 1840)","Euidosomus acuminatus","Euidosomus acuminatus (Boheman, 1839)","Eusomus acuminatus Boheman, 1840","Eusomostrophus acuminatus (Boheman, 1840)","",""
"2",208,"Lymnaea clavata Westerlund, 1885","Lymnaea clavata","","","","",""
"3",209,"Lymnaea pachyta Westerlund, 1890","Lymnaea pachyta","","","","",""
"4",250,"Trochulus bielzi (Bielz, 1860)","Trochulus bielzi","","","","",""
"5",283,"Batavusiana irenjensis (Kobelt, 1912)","Batavusiana irenjensis","","","","",""
"6",285,"Paraelona majewsky (Frauenfeld, 1862)","Paraelona majewsky","","","","",""
"7",288,"Neopisidium moitesserianum (Paladilhe, 1866)","Neopisidium moitesserianum","Neopisidium moitesserianum Paladilhe, 1866","Pisidium moitessierianum Paladihe, 1866","","",""
"8",289,"Galactella lactea (Linnaeus, 1758)","Galactella lactea","Striarca lactea (Linnaeus, 1758)","","","",""
"9",290,"Hypanis laeviuscula (Eichwald, 1829)","Hypanis laeviuscula","","","","",""
"10",293,"Pisidium pulchellum (Jenyns, 1832)","Pisidium pulchellum","Pisidium pulchellum Jenyns, 1832","Pisidium dorbignyi Clessin, 1877",NA,NA,NA
"11",355,"Potamon tauricum Czernyavsky,1884","Potamon tauricum","","","","",""
"12",379,"Syrioiulus kovali (Golovatch, 2008)","Syrioiulus kovali","","","","",""
"13",395,"Calopteryx taurica (Selys, 1853)","Calopteryx taurica","Calopteryx taurica Selys, 1853",NA,NA,NA,NA
"14",466,"Chrysochares asiaticus (Pallas, 1771)","Chrysochares asiaticus","Chrysochares asiaticus Pallas, 1771","","","",""
"15",470,"Polyommatus anteros Freyer, 1839","Polyommatus anteros","","","","",""
"16",472,"Chelis maculosa mannerheimi (Duponchel, 1836)","Chelis maculosa mannerheimi","","","","",""
"17",489,"Evylaeus corvinus (Morawitz, 1876)","Evylaeus corvinus","","","","",""
"18",606,"Agabus kessleri Hochhuth, 1871","Agabus kessleri","","","","",""
"19",687,"Ropalopus hungaricus (Fabricius, 1775)","Ropalopus hungaricus","Ropalopus ungaricus (Herbst, 1784)","Rhopalopus hungaricus Sonthonnax, 1889","Rhopalopus hungaricus Iablokoff, 1950","",""
"20",703,"Alaus parreyssi (Steven, 1830)","Alaus parreyssi","Calais parreysii (Steven, 1829)","Calais parreyssi Steven,1830","Alaus parreyssi Stev.","Alaus parreyssi Steven",""
"21",792,"Glaphyrus vulpes (Fabricius, 1781)","Glaphyrus vulpes","Glaphyrus vulpes Fabricius, 1781","","","",""
"22",968,"Gonospileia triquetra (Denis & Schiffermuller, 1775)","Gonospileia triquetra","Euclidia (Gonospileia) triquetra (Denis & Schiffermüller) 1775","Gonospileia triquetra (Denis & Schiffermüller, 1775)","","",""
"23",1092,"Neopristilophus depressus (Coermar, 1822)","Neopristilophus depressus","Neopristilophus insitivus (Germar, 1824)","Elater depressus Germar, 1822","Elater insitivus Germar, 1824","",""
"24",1093,"Cecchiniola platyscelidina (Jacobson, 1908)","Cecchiniola platyscelidina","Chrysolina (Cecchiniola) platyscelidina (Jacobson, 1898)","Chrysolina platyscelidina (Jacobson, 1898)","Chrysomela platyscelidina Jacobson, 1898","",""
"25",1163,"Eudia spini (Denis & Schiffermuller, 1775)","Eudia spini","Saturnia (Eudia) spini (Denis & Schiffermüller) 1775","Eudia spini Denis & Schiffermüller 1775","Eudia spini D.&Sch.","Eudia spini (Denis & Schifermuller, 1775)","Eudia spini Denis & Schiffermüller, 1775"
"26",1228,"Xiphydria markewitshi Ermolenko, 1960","Xiphydria markewitshi","","","","",""
"27",1268,"Campsoscolia klugii (Vander Linden, 1827)","Campsoscolia klugii","Scolia klugii Vander Linden, 1827","Colpa klugii (Vander Linden, 1827)","","",""
"28",1299,"Seladonia semitecta (Morawitz, 1873)","Seladonia semitecta","","","","",""
"29",1300,"Evylaeus laevis (Kirby, 1802)","Evylaeus laevis","","","","",""
"30",1301,"Evylaeus quadrisignatus (Schenck, 1853)","Evylaeus quadrisignatus","Lasioglossum quadrisignatum (Schenck, 1853)","Hylaeus quadrisignatum Schenck, 1853","Hylaeus quadrisignatus Schenck, 1853","",""
"31",1372,"Macropis wancowiczi","Macropis wancowiczi","","","","",""
"32",2044,"Spermophilus odessanus Nordmann, 1840","Spermophilus odessanus","","","","",""
"33",2059,"Sicista cimlanica (Kovalskaya et al., 2000)","Sicista cimlanica","Sicista cimlanica Kovalskaya, Tikhonov, Tikhonova, Surov et Bogomolov, 2000","","","",""
"34",2067,"Nothocricetulus migratorius (Pallas, 1773)","Nothocricetulus migratorius","","","","",""
"35",2410,"Cladophora sivashensis C.Meyer","Cladophora sivashensis","","","","",""
"36",2492,"Galium dubovikiae Ostapko","Galium dubovikiae","","","","",""
"37",2928,"Astragalus excapus L.","Astragalus excapus","","","","",""
"38",3161,"Dasyopsis apiculata (C. Agardh) Zinova","Dasyopsis apiculata","","","","",""
"39",3296,"Phlomoides scythica (Klokov & Des.-Shost.) Czer.","Phlomoides scythica","Phlomoides scythica (Klokov et Des.-Shost.) Czer.","","","",""
"40",3374,"Ranunculus thora L. (R. tatrae Borbás))","Ranunculus thora tatrae","Ranunculus thora L.","Ranunculus carpaticus Wahlenb. ex Nyman","","",""
"41",3434,"Alectoria mirabilis Motyka, 1960","Alectoria mirabilis","","","","",""
"42",3671,"Sagina subulata (Sw.) C.Presl","Sagina subulata","Sagina alexandrae Iamonico","Sagina alexandrae",NA,NA,NA
"43",3830,"Rosa psammophila Chrshan.","Rosa psammophila","Rosa balsamica Besser","Rosa balsamica",NA,NA,NA
"44",3926,"Enteromorpha maeotica Proschk.–Lavr.","Enteromorpha maeotica","Enteromorpha maeotica Proshkina-Lavrenko","Enteromorpha maeotica Proschkina-Lavrenko, 1945","Enteromorpha maeotica Proschk.–Lavr.","",""
"45",3989,"Cosmarium hornavanense var. mirabile Ruzicka","Cosmarium hornavanense var. mirabile","","","","",""
"46",3990,"Cosmarium hornavanense var. alpinum (Schmidle) Messinkommer","Cosmarium hornavanense var. alpinum","","","","",""
"47",4137,"Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh.","Trentepohlia jolithus var. bovina","","","","",""
"48",4139,"Trentepohlia aurea var. tomentosa Kutz.","Trentepohlia aurea var. tomentosa","Trentepohlia aurea (L.) Mart. var. tomentosa","Trentepohlia aurea var. tomentosa Kützing","Trentepohlia aurea (L.) Mart. var. tomentosa Kütz.","",""
"49",4147,"Ulothrix zonata var. rigia (Kutzing) Hansgirg","Ulothrix zonata var. rigia","","","","",""
"50",4148,"Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst","Ulothrix zonata var. inaequalis","Ulothrix inaequalis Kütz.","","","",""
"51",4150,"Ulothrix moniliformis var. braunii (Kutzing) Hansgirg","Ulothrix moniliformis var. braunii","","","","",""
"52",4153,"Usnea motykana Bystrek & Wojciak, 1994","Usnea motykana","Ramalina motykana Bystrek","","","",""
"53",4155,"Usnea cavernosa subsp. sibirica (Rasanen) Mot.","Usnea cavernosa subsp. sibirica","","","","",""
"54",4346,"Rosa ciesielskii Blocki","Rosa ciesielskii","Rosa tomentosa Sm.","Rosa tomentosa",NA,NA,NA
"55",4364,"Asplenium germanicum Weiss","Asplenium germanicum","Asplenium ×germanicum Weiss","Asplenium ruta-muraria subsp. ruta-muraria",NA,NA,NA
"56",4460,"Asperula michelsoni V.Krecz.","Asperula michelsoni","","","","",""
"57",4469,"Teucrium podolicum","Teucrium podolicum","","","","",""
"58",4506,"Dasya apiculata (C. Agardh) J. Agardh","Dasya apiculata","","","","",""
"59",4599,"Rosa borysthenica Chrshan.","Rosa borysthenica","Rosa tomentosa Sm.","Rosa tomentosa",NA,NA,NA
"60",4622,"Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al.","Ulva maeotica","","","","",""
"61",4626,"Bulbochaete subquadrata Mrozinska","Bulbochaete subquadrata","","","","",""
"62",4627,"Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll","Oedogonium plagiostomum var. tanaiticum","","","","",""
"63",4629,"Chaetomorpha zernovii Wononich","Chaetomorpha zernovii","Chaetomorpha zernovii Woronichin","","","",""
"64",4649,"Penium borgeanum Skuja","Penium borgeanum","","","","",""
"65",4881,"Hericium coralloides (Fr.) Gray","Hericium coralloides","Hericium coralloides (Scop.) Pers.","","","",""
"66",4948,"Anaptychia mereschkowskii (Tomin) Kulakov","Anaptychia mereschkowskii","","","","",""
"67",4962,"Lecania ephedrae Elenk.","Lecania ephedrae","Lecania ephedrae Elenkin","","","",""
"68",4963,"Lecanora elenkinii Mereschk.","Lecanora elenkinii","Lecanora elenkinii Mereschk., 1913","","","",""
"69",4968,"Staurothele epigea Breuss et Etayo","Staurothele epigea","","","","",""
"70",4988,"Acutodesmus regularis (Svirenko) P.Tsarenko","Acutodesmus regularis","Acutodesmus regularis (D.O.Svirenko, 1924) P.M.Tsarenko, 2001","","","",""
"71",4993,"Oedogonium stictospermum (Skuja) Tiffany","Oedogonium stictospermum","","","","",""
"72",4994,"Oedogonium sodiroanum Lagerh. ex Hirn.","Oedogonium sodiroanum","Oedogonium sodiroanum Lagerh. ex Hirn","","","",""
"73",4995,"Endoclonium polymorphum Franke","Endoclonium polymorphum","","","","",""
"74",4996,"Cosmarium cyaneilacustre Lilitsk.","Cosmarium cyaneilacustre","","","","",""
"75",4997,"Cosmarium reticulatum Lilitsk.","Cosmarium reticulatum","","","","",""
"76",5001,"Spirogyra borysthenica var. ehinospora Kazan. et Smirn.","Spirogyra borysthenica var. ehinospora","","","","",""
"77",5002,"Spirogyra maxima f. woronichinia Poljansk.","Spirogyra maxima f. woronichinia","","","","",""
"78",5003,"Spirogyra pseudowoodsii V.Poljansk.","Spirogyra pseudowoodsii","","","","",""
"79",5004,"Spirogyra pseudogranulata Ley","Spirogyra pseudogranulata","Spirogyra pseudogranulata S.-H.Ley","","","",""
"80",5006,"Scenedesmus polessicus P.Tsarenko","Scenedesmus polessicus","","","","",""
"81",5008,"Uronema confervicolum var. uncinatum Popova","Uronema confervicolum var. uncinatum","","","","",""
"82",5015,"Chara uzbekistanica Hollerb.","Chara uzbekistanica","","","","",""
"83",5016,"Chlamydomonas plurivacuolatum Wawrick","Chlamydomonas plurivacuolatum","","","","",""
"84",5017,"Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm.","Chlamydomonas ucrainica","","","","",""
"85",5033,"Melaspilea oxneri Makar.","Melaspilea oxneri","","","","",""
"86",5237,"Alburnus vulturius (Costa, 1838)","Alburnus vulturius","Alburnus albidus subsp. vulturius Sommani, 1951","Alburnus albidus (Costa, 1838)","Leuciscus vulturius Costa, 1838","",""
"87",5488,"Hyacinthoides vicentina (Hoffmanns. & Link) Rothm.","Hyacinthoides vicentina","","","","",""
"88",5761,"Teucrium salviastrum subsp. salviastrum Schreber","Teucrium salviastrum","Teucrium salviastrum Schreb.","Teucrium salviastrum subsp. salviastrum","Teucrium salviastrum salviastrum","",""
"89",5771,"Scrophularia grandiflora subsp. grandiflora DC.","Scrophularia grandiflora","Scrophularia grandiflora DC.","","","",""
"90",5772,"Scrophularia berminii Hoffmanns & Link","Scrophularia berminii","Scrophularia berminii Null","","","",""
"91",1133,"Polyommatus dorylas (Denis & Schiffermüller, 1775)","Polyommatus dorylas","Plebicula dorylas (Denis & Schiffermüller) 1776",NA,NA,NA,NA
