"","verbatimScientificName","X.1","X.2","X.3","X.4","X.5","X.6"
"1","Euidosomus acuminatus (Boheman, 1840)","Euidosomus acuminatus","Euidosomus acuminatus (Boheman, 1839)","Eusomus acuminatus Boheman, 1840","Eusomostrophus acuminatus (Boheman, 1840)","",""
"2","Lymnaea clavata Westerlund, 1885","Lymnaea clavata","","","","",""
"3","Lymnaea pachyta Westerlund, 1890","Lymnaea pachyta","","","","",""
"4","Trochulus bielzi (Bielz, 1860)","Trochulus bielzi","","","","",""
"5","Batavusiana irenjensis (Kobelt, 1912)","Batavusiana irenjensis","","","","",""
"6","Paraelona majewsky (Frauenfeld, 1862)","Paraelona majewsky","","","","",""
"7","Neopisidium moitesserianum (Paladilhe, 1866)","Neopisidium moitesserianum","Neopisidium moitesserianum Paladilhe, 1866","Pisidium moitessierianum Paladihe, 1866","","",""
"8","Galactella lactea (Linnaeus, 1758)","Galactella lactea","Striarca lactea (Linnaeus, 1758)","","","",""
"9","Hypanis laeviuscula (Eichwald, 1829)","Hypanis laeviuscula","","","","",""
"10","Potamon tauricum Czernyavsky,1884","Potamon tauricum","","","","",""
"11","Syrioiulus kovali (Golovatch, 2008)","Syrioiulus kovali","","","","",""
"12","Chrysochares asiaticus (Pallas, 1771)","Chrysochares asiaticus","Chrysochares asiaticus Pallas, 1771","","","",""
"13","Polyommatus anteros Freyer, 1839","Polyommatus anteros","","","","",""
"14","Chelis maculosa mannerheimi (Duponchel, 1836)","Chelis maculosa mannerheimi","","","","",""
"15","Evylaeus corvinus (Morawitz, 1876)","Evylaeus corvinus","","","","",""
"16","Agabus kessleri Hochhuth, 1871","Agabus kessleri","","","","",""
"17","Ropalopus hungaricus (Fabricius, 1775)","Ropalopus hungaricus","Ropalopus ungaricus (Herbst, 1784)","Rhopalopus hungaricus Sonthonnax, 1889","Rhopalopus hungaricus Iablokoff, 1950","",""
"18","Alaus parreyssi (Steven, 1830)","Alaus parreyssi","Calais parreysii (Steven, 1829)","Calais parreyssi Steven,1830","Alaus parreyssi Stev.","Alaus parreyssi Steven",""
"19","Glaphyrus vulpes (Fabricius, 1781)","Glaphyrus vulpes","Glaphyrus vulpes Fabricius, 1781","","","",""
"20","Gonospileia triquetra (Denis & Schiffermuller, 1775)","Gonospileia triquetra","Euclidia (Gonospileia) triquetra (Denis & Schiffermüller) 1775","Gonospileia triquetra (Denis & Schiffermüller, 1775)","","",""
"21","Neopristilophus depressus (Coermar, 1822)","Neopristilophus depressus","Neopristilophus insitivus (Germar, 1824)","Elater depressus Germar, 1822","Elater insitivus Germar, 1824","",""
"22","Cecchiniola platyscelidina (Jacobson, 1908)","Cecchiniola platyscelidina","Chrysolina (Cecchiniola) platyscelidina (Jacobson, 1898)","Chrysolina platyscelidina (Jacobson, 1898)","Chrysomela platyscelidina Jacobson, 1898","",""
"23","Eudia spini (Denis & Schiffermuller, 1775)","Eudia spini","Saturnia (Eudia) spini (Denis & Schiffermüller) 1775","Eudia spini Denis & Schiffermüller 1775","Eudia spini D.&Sch.","Eudia spini (Denis & Schifermuller, 1775)","Eudia spini Denis & Schiffermüller, 1775"
"24","Pelatea verucha Nedoshivina & Zolotuhin, 2005","Pelatea verucha","Pelatea verucha (Nedoshivina et Zolotuhin, 2005)","","","",""
"25","Xiphydria markewitshi Ermolenko, 1960","Xiphydria markewitshi","","","","",""
"26","Campsoscolia klugii (Vander Linden, 1827)","Campsoscolia klugii","Scolia klugii Vander Linden, 1827","Colpa klugii (Vander Linden, 1827)","","",""
"27","Seladonia semitecta (Morawitz, 1873)","Seladonia semitecta","","","","",""
"28","Evylaeus laevis (Kirby, 1802)","Evylaeus laevis","","","","",""
"29","Evylaeus quadrisignatus (Schenck, 1853)","Evylaeus quadrisignatus","Lasioglossum quadrisignatum (Schenck, 1853)","Hylaeus quadrisignatum Schenck, 1853","Hylaeus quadrisignatus Schenck, 1853","",""
"30","Macropis wancowiczi","Macropis wancowiczi","","","","",""
"31","Chondrostoma nasus subsp. borysthenicum Berg, 1914","Chondrostoma nasus subsp. borysthenicum","Chondrostoma nasus borysthenicum Berg, 1914","","","",""
"32","Vimba tenella (Nordmann, 1840)","Vimba tenella","Vimba vimba tenella (Nordmann, 1840)","","","",""
"33","Spermophilus odessanus Nordmann, 1840","Spermophilus odessanus","","","","",""
